level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	980	1280	-1	
2	1	1	0	0	0	54	63	868	1171	-1	
3	1	1	1	0	0	58	63	864	1171	-1	
4	1	1	1	1	0	90	63	820	29	-1	
5	1	1	1	1	1	90	64	63	28	90.090805	W-4
5	1	1	1	1	2	314	63	113	20	92.486153	Employee’s
5	1	1	1	1	3	435	63	119	20	96.032532	Withholding
5	1	1	1	1	4	561	63	105	16	96.143440	Certificate
5	1	1	1	1	5	807	68	25	9	77.962608	(OMB
5	1	1	1	1	6	836	68	14	8	95.367897	No.
5	1	1	1	1	7	857	68	53	8	92.715294	1545-0074
4	1	1	1	2	0	58	83	726	18	-1	
5	1	1	1	2	1	58	83	25	9	90.564980	fom
5	1	1	1	2	2	195	89	56	12	80.457367	‘Complete
5	1	1	1	2	3	255	89	29	10	93.035454	Form
5	1	1	1	2	4	288	89	23	10	87.420494	W-4
5	1	1	1	2	5	315	91	13	8	96.759933	so
5	1	1	1	2	6	332	89	23	10	93.541542	that
5	1	1	1	2	7	358	92	26	9	93.541542	your
5	1	1	1	2	8	388	89	54	12	92.222687	employer
5	1	1	1	2	9	445	92	21	7	96.893394	can
5	1	1	1	2	10	470	89	49	10	96.453537	withhold
5	1	1	1	2	11	523	89	18	10	96.958458	the
5	1	1	1	2	12	545	90	41	9	94.248543	correct
5	1	1	1	2	13	590	89	40	10	96.777992	federal
5	1	1	1	2	14	634	89	42	10	96.838501	income
5	1	1	1	2	15	680	90	17	9	96.964439	tax
5	1	1	1	2	16	701	89	27	10	96.540733	from
5	1	1	1	2	17	732	91	25	10	96.540733	your
5	1	1	1	2	18	761	91	23	10	95.888214	pay.
4	1	1	1	3	0	58	84	841	48	-1	
5	1	1	1	3	1	58	84	123	48	32.661594	ane:
5	1	1	1	3	2	390	107	26	10	45.321484	Give
5	1	1	1	3	3	421	107	30	10	29.503660	Fom
5	1	1	1	3	4	456	107	134	12	21.197704	Wat
5	1	1	1	3	5	500	85	29	49	43.165199	your
5	1	1	1	3	6	533	107	57	12	43.165199	employe.
5	1	1	1	3	7	818	99	81	23	95.996407	2026
4	1	1	1	4	0	58	125	579	12	-1	
5	1	1	1	4	1	58	127	33	7	77.838684	Intemal
5	1	1	1	4	2	94	126	39	8	90.712364	Revenue
5	1	1	1	4	3	136	126	33	8	64.313911	Service
5	1	1	1	4	4	343	125	28	9	96.636497	Your
5	1	1	1	4	5	375	125	70	12	85.492867	withholding
5	1	1	1	4	6	450	125	9	9	96.792313	is
5	1	1	1	4	7	464	125	44	12	96.349228	subject
5	1	1	1	4	8	512	125	12	9	96.983627	to
5	1	1	1	4	9	528	125	39	9	95.336479	review
5	1	1	1	4	10	572	125	14	12	96.991890	by
5	1	1	1	4	11	590	125	19	9	96.418823	the
5	1	1	1	4	12	613	125	24	9	96.293549	IRS.
4	1	1	1	5	0	59	168	852	33	-1	
5	1	1	1	5	1	59	168	39	33	0.000000	Eaier
5	1	1	1	5	2	768	183	26	8	91.191315	Does
5	1	1	1	5	3	798	185	24	8	95.114548	your
