level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2090	2410	-1	
2	1	1	0	0	0	86	63	2004	2289	-1	
3	1	1	1	0	0	1991	63	77	47	-1	
4	1	1	1	1	0	1991	63	77	47	-1	
5	1	1	1	1	1	1991	63	77	47	42.425671	sr
3	1	1	2	0	0	126	166	1964	96	-1	
4	1	1	2	1	0	126	166	1964	96	-1	
5	1	1	2	1	1	126	200	18	27	9.796896	t
5	1	1	2	1	2	424	162	260	104	0.000000	Gapprinint
5	1	1	2	1	3	744	162	131	104	0.529156	memes
5	1	1	2	1	4	909	162	44	104	77.841599	by
5	1	1	2	1	5	987	176	35	44	0.000000	G.
5	1	1	2	1	6	1056	162	157	104	10.215874	frahne
5	1	1	2	1	7	1255	162	114	104	60.766865	Mell
5	1	1	2	1	8	1411	162	157	104	46.918625	turing
5	1	1	2	1	9	1593	162	70	104	59.231991	Tha
5	1	1	2	1	10	1706	162	209	104	17.796392	Matinee
5	1	1	2	1	11	1966	203	103	49	54.768391	Bo
3	1	1	3	0	0	397	282	1689	85	-1	
4	1	1	3	1	0	397	282	1689	85	-1	
5	1	1	3	1	1	397	293	51	38	43.087234	IB
5	1	1	3	1	2	460	298	85	54	2.929783	7S)
5	1	1	3	1	3	575	318	33	6	80.137695	~
5	1	1	3	1	4	637	282	79	50	38.127747	fet
5	1	1	3	1	5	748	292	161	42	0.000000	earbin
5	1	1	3	1	6	943	278	109	93	44.342514	Where
5	1	1	3	1	7	1090	278	125	93	0.000000	Juere
5	1	1	3	1	8	1268	311	96	24	69.322731	ton
5	1	1	3	1	9	1395	290	122	44	33.519192	Cali,
5	1	1	3	1	10	1555	300	127	32	32.233002	Meee
5	1	1	3	1	11	1738	296	183	39	0.000000	Nera.
5	1	1	3	1	12	1943	290	143	57	28.526478	(8S
3	1	1	4	0	0	1896	400	194	41	-1	
4	1	1	4	1	0	2089	400	1	41	-1	
5	1	1	4	1	1	2089	400	1	41	0.000000	)
3	1	1	5	0	0	312	454	1778	83	-1	
4	1	1	5	1	0	312	454	1778	83	-1	
5	1	1	5	1	1	312	501	29	33	38.118477	bo
5	1	1	5	1	2	418	458	262	75	5.870047	Die
5	1	1	5	1	3	772	508	15	19	16.399527	2p
5	1	1	5	1	4	834	474	305	63	20.347809	ls
5	1	1	5	1	5	1864	454	226	78	0.000000	a
3	1	1	6	0	0	130	477	1960	156	-1	
4	1	1	6	1	0	130	477	1727	156	-1	
5	1	1	6	1	1	130	563	1	31	93.131302	|
5	1	1	6	1	2	408	563	253	70	31.952753	Be
5	1	1	6	1	3	673	478	319	155	38.895638	Sn
5	1	1	6	1	4	1272	490	37	83	69.926750	J
5	1	1	6	1	5	1427	477	51	84	0.000000	.
5	1	1	6	1	6	1601	487	256	105	16.891289	ee
3	1	1	7	0	0	86	646	1989	251	-1	
4	1	1	7	1	0	86	646	1989	156	-1	
5	1	1	7	1	1	86	658	60	111	62.194866	4
5	1	1	7	1	2	552	646	152	156	0.000000	Lefs
5	1	1	7	1	3	706	707	73	20	32.738613	oan
5	1	1	7	1	4	779	673	308	112	2.224503	felon
5	1	1	7	1	5	1074	712	62	89	0.000000	~
5	1	1	7	1	6	1170	653	180	77	25.822334	eae
5	1	1	7	1	7	1526	652	113	82	21.572613	a
4	1	1	7	2	0	440	751	1593	150	-1	
5	1	1	7	2	1	440	753	230	76	1.656599	Ahk
5	1	1	7	2	2	720	795	150	34	17.334089	jon
5	1	1	7	2	3	933	808	70	26	9.563761	i
5	1	1	7	2	4	1018	783	308	49	28.525858	te
5	1	1	7	2	5	1370	759	135	142	47.823528	life
5	1	1	7	2	6	1510	807	67	21	27.542591	ro
5	1	1	7	2	7	1587	784	150	112	16.697779	ee
5	1	1	7	2	8	1751	796	147	96	5.480165	—
5	1	1	7	2	9	1924	751	109	80	58.292320	thc
3	1	1	8	0	0	129	869	1961	141	-1	
4	1	1	8	1	0	129	869	1961	141	-1	
5	1	1	8	1	1	129	880	14	14	34.748920	i
