level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1600	1140	-1	
2	1	1	0	0	0	2	43	1583	1053	-1	
3	1	1	1	0	0	2	43	1583	1049	-1	
4	1	1	1	1	0	11	43	1488	89	-1	
5	1	1	1	1	1	11	43	17	25	0.000000	'
5	1	1	1	1	2	153	46	120	27	10.645256	ST
5	1	1	1	1	3	403	82	4	4	24.375572	—
5	1	1	1	1	4	437	51	54	46	0.000000	wetwer
5	1	1	1	1	5	502	51	51	46	0.000000	leat
5	1	1	1	1	6	571	51	62	46	16.210165	bebo
5	1	1	1	1	7	648	64	106	20	0.000000	ac
5	1	1	1	1	8	862	82	3	6	44.645287	j
5	1	1	1	1	9	1148	105	104	16	0.000000	daitin
5	1	1	1	1	10	1276	115	21	9	36.790806	ae
5	1	1	1	1	11	1474	81	25	51	32.454372	a5
4	1	1	1	2	0	73	104	1512	68	-1	
5	1	1	1	2	1	73	104	30	7	0.000000	<t
5	1	1	1	2	2	166	104	223	13	0.000000	eeintitieaoee
5	1	1	1	2	3	344	92	47	33	0.000000	i,
5	1	1	1	2	4	523	123	4	5	10.517035	:
5	1	1	1	2	5	843	115	32	33	45.743141	eee
5	1	1	1	2	6	981	123	98	37	6.975183	eRe
5	1	1	1	2	7	1100	123	10	37	80.364517	|
5	1	1	1	2	8	1369	164	19	6	62.947544	=
5	1	1	1	2	9	1582	168	3	4	30.168404	4
4	1	1	1	3	0	85	148	1473	101	-1	
5	1	1	1	3	1	34	155	53	21	28.426498	oer
5	1	1	1	3	2	118	153	94	39	8.530731	fis
5	1	1	1	3	3	228	148	133	44	0.000000	=Ssee
5	1	1	1	3	4	466	174	11	17	88.951561	i
5	1	1	1	3	5	620	164	20	41	4.276285	iH
5	1	1	1	3	6	669	171	75	34	19.249630	a
5	1	1	1	3	7	818	187	50	19	31.345396	i
5	1	1	1	3	8	1046	191	60	30	15.508757	pea
5	1	1	1	3	9	1155	211	22	11	0.000000	e
5	1	1	1	3	10	1256	213	157	15	9.407501	LS
5	1	1	1	3	11	1448	217	22	12	40.667683	a
5	1	1	1	3	12	1494	219	64	30	21.142597	ma
4	1	1	1	4	0	34	171	1523	95	-1	
5	1	1	1	4	1	34	171	9	29	76.797531	ij
5	1	1	1	4	2	123	193	66	10	26.060324	PE
5	1	1	1	4	3	216	189	62	53	29.699478	ies
5	1	1	1	4	4	317	189	37	53	21.173162	oie
5	1	1	1	4	5	370	189	76	53	36.578171	toed
5	1	1	1	4	6	507	189	98	53	28.696213	ee
5	1	1	1	4	7	640	201	338	37	28.725853	eet
5	1	1	1	4	8	934	237	3	1	53.512779	:
5	1	1	1	4	9	975	205	60	59	21.427498	Ppa
5	1	1	1	4	10	1048	205	55	59	26.105165	cre
5	1	1	1	4	11	1112	205	68	59	11.408844	oat
5	1	1	1	4	12	1195	235	60	10	15.496302	a
5	1	1	1	4	13	1289	244	4	1	27.181835	ae
5	1	1	1	4	14	1343	230	16	26	0.000000	A
5	1	1	1	4	15	1375	233	27	29	29.828392	mi
5	1	1	1	4	16	1439	225	22	29	32.418999	755
5	1	1	1	4	17	1471	232	86	34	42.406708	eo
4	1	1	1	5	0	101	201	1482	92	-1	
5	1	1	1	5	1	101	201	19	46	15.033598	Ey
5	1	1	1	5	2	140	201	77	51	29.002071	Lert
5	1	1	1	5	3	233	218	46	23	25.271896	ep
5	1	1	1	5	4	318	207	39	37	22.952566	i
5	1	1	1	5	5	399	201	39	51	46.813011	di
5	1	1	1	5	6	397	211	26	17	28.846210	a
5	1	1	1	5	7	449	207	47	52	14.455624	eC
5	1	1	1	5	8	574	207	53	52	8.723602	ot
5	1	1	1	5	9	648	234	31	15	23.146219	a
5	1	1	1	5	10	735	207	44	52	28.448954	ae
5	1	1	1	5	11	878	216	96	64	0.000000	oree
5	1	1	1	5	12	1011	216	91	64	10.711613	AEE
5	1	1	1	5	13	1123	259	79	17	0.000000	ie
5	1	1	1	5	14	1213	255	86	21	0.000000	Zagat
5	1	1	1	5	15	1323	262	24	16	46.463020	om
5	1	1	1	5	16	1357	263	30	15	40.020370	Wee
5	1	1	1	5	17	1395	267	39	12	0.523825	UT
5	1	1	1	5	18	1470	267	87	26	33.210770	Lota
5	1	1	1	5	19	1573	280	10	4	54.544300	..
4	1	1	1	6	0	105	219	1480	121	-1	
5	1	1	1	6	1	105	223	15	33	19.224062	E
5	1	1	1	6	2	139	223	125	34	31.613598	eae
5	1	1	1	6	3	323	242	165	21	24.510365	ee
5	1	1	1	6	4	573	247	173	37	0.000000	epee
5	1	1	1	6	5	785	219	102	94	29.342709	teed
5	1	1	1	6	6	1166	295	27	16	51.743664	a0
5	1	1	1	6	7	1267	281	141	30	0.000000	fleonscp
5	1	1	1	6	8	1356	266	5	51	58.074142	|
5	1	1	1	6	9	1369	266	30	51	21.120424	OUT
5	1	1	1	6	10	1411	266	25	51	29.695711	Vil
5	1	1	1	6	11	1445	287	20	20	18.969021	Th
5	1	1	1	6	12	1469	272	87	68	12.147655	amar
5	1	1	1	6	13	1570	297	15	24	0.000000	“
4	1	1	1	7	0	104	254	1434	96	-1	
5	1	1	1	7	1	104	258	107	34	0.000000	i
5	1	1	1	7	2	410	259	86	39	0.000000	a
5	1	1	1	7	3	593	254	96	76	35.853859	eel
5	1	1	1	7	4	714	269	241	56	21.039371	ean
5	1	1	1	7	5	1040	272	99	62	0.000000	BERT
5	1	1	1	7	6	1169	272	89	62	29.943209	imeem
5	1	1	1	7	7	1267	313	271	37	20.849224	oe
5	1	1	1	7	8	1566	335	15	12	34.430679	<
4	1	1	1	8	0	103	327	1475	113	-1	
5	1	1	1	8	1	103	327	107	34	54.982758	EH
5	1	1	1	8	2	369	331	112	48	22.460484	aS
5	1	1	1	8	3	553	335	45	34	32.070141	Pa
5	1	1	1	8	4	641	337	32	34	35.263031	la
5	1	1	1	8	5	737	356	44	18	42.372250	|
5	1	1	1	8	6	888	364	67	31	23.891172	ROPE
5	1	1	1	8	7	985	358	32	47	41.159019	PPE
5	1	1	1	8	8	1028	363	76	34	43.443817	GENE
5	1	1	1	8	9	1132	365	2	11	24.123964	TT
5	1	1	1	8	10	1209	370	80	31	3.542395	Cee
5	1	1	1	8	11	1303	370	87	43	17.296181	Said
5	1	1	1	8	12	1435	387	119	53	12.493362	ee
5	1	1	1	8	13	1575	407	3	4	48.302731	(
4	1	1	1	9	0	66	342	1421	81	-1	
5	1	1	1	9	1	66	346	1	3	52.015945	|
5	1	1	1	9	2	111	345	6	15	56.177525	8
5	1	1	1	9	3	208	342	48	30	21.151285	fe
5	1	1	1	9	4	751	385	124	9	27.862911	ie
5	1	1	1	9	5	920	390	45	6	55.002304	mania
5	1	1	1	9	6	986	389	41	10	0.000000	|ifadad|
5	1	1	1	9	7	1057	387	43	10	0.000000	aslasly
5	1	1	1	9	8	1181	396	31	4	5.590067	Aer
5	1	1	1	9	9	1266	404	1	6	62.653328	|
5	1	1	1	9	10	1355	403	1	9	54.288185	}
5	1	1	1	9	11	1470	421	17	2	17.278357	ie
4	1	1	1	10	0	65	350	1511	100	-1	
5	1	1	1	10	1	65	350	52	44	48.971085	pe
5	1	1	1	10	2	137	362	741	48	3.943911	Pe
5	1	1	1	10	3	698	346	61	91	21.617212	ee
5	1	1	1	10	4	880	377	349	56	21.617212	tml
5	1	1	1	10	5	1267	417	59	24	7.434788	oer
5	1	1	1	10	6	1490	423	86	27	25.808563	Pee
4	1	1	1	11	0	65	382	1488	110	-1	
5	1	1	1	11	1	65	382	52	37	43.322334	etl
5	1	1	1	11	2	137	397	64	17	0.218306	So
5	1	1	1	11	3	252	393	108	68	27.589808	eee
5	1	1	1	11	4	410	401	114	55	15.492773	een
5	1	1	1	11	5	575	393	63	68	30.379276	ae
5	1	1	1	11	6	654	393	6	68	2.688236	a
5	1	1	1	11	7	682	393	114	68	21.484261	creer
5	1	1	1	11	8	807	393	71	68	17.966785	me
5	1	1	1	11	9	902	432	64	16	22.446966	rea
5	1	1	1	11	10	987	447	50	2	47.334732	ES
5	1	1	1	11	11	1051	434	49	28	36.068401	EC
5	1	1	1	11	12	1175	432	24	41	25.289253	Yee
5	1	1	1	11	13	1212	432	23	41	33.662014	ics
5	1	1	1	11	14	1270	447	22	13	21.944183	Flip
5	1	1	1	11	15	1305	439	101	29	9.606743	hI
5	1	1	1	11	16	1390	432	18	41	19.687653	LY
5	1	1	1	11	17	1420	457	36	29	47.005924	a
5	1	1	1	11	18	1467	440	86	52	18.367653	coer
4	1	1	1	12	0	73	412	1480	130	-1	
5	1	1	1	12	1	73	415	44	35	67.635086	af
5	1	1	1	12	2	136	412	236	64	12.043724	Scene
5	1	1	1	12	3	423	448	11	6	9.450960	LT
5	1	1	1	12	4	528	442	66	41	0.000000	febeee
5	1	1	1	12	5	600	442	14	41	36.804443	ee
5	1	1	1	12	6	630	454	25	21	40.792122	be
5	1	1	1	12	7	665	442	24	41	25.764122	et
5	1	1	1	12	8	712	442	70	41	51.342705	et
5	1	1	1	12	9	879	464	95	17	22.850904	eae
5	1	1	1	12	10	948	453	18	52	31.098995	a
5	1	1	1	12	11	987	453	36	52	26.050667	7
5	1	1	1	12	12	1085	474	80	24	19.253321	PE
5	1	1	1	12	13	1353	488	87	19	23.161068	+
5	1	1	1	12	14	1457	475	96	67	13.567219	Reg:
4	1	1	1	13	0	2	470	1578	108	-1	
5	1	1	1	13	1	2	470	11	23	60.478531	i
5	1	1	1	13	2	73	483	43	32	49.934517	ei]
5	1	1	1	13	3	136	483	72	33	52.703949	4
5	1	1	1	13	4	371	486	225	38	25.889626	meee
5	1	1	1	13	5	643	509	27	51	25.240755	a
5	1	1	1	13	6	705	511	237	50	12.703972	at
5	1	1	1	13	7	983	540	42	11	0.000000	roa
5	1	1	1	13	8	1050	524	75	29	0.000000	ESTIMA
5	1	1	1	13	9	1108	517	52	43	23.220196	ETM
5	1	1	1	13	10	1183	546	65	10	25.170406	Peo
5	1	1	1	13	11	1270	542	130	29	1.098928	tase
5	1	1	1	13	12	1417	544	28	25	32.314980	MT
5	1	1	1	13	13	1488	544	71	34	45.909645	EEE
5	1	1	1	13	14	1573	555	7	5	49.803207	-
4	1	1	1	14	0	62	583	1488	116	-1	
5	1	1	1	14	1	62	592	4	14	66.250046	{
5	1	1	1	14	2	87	586	28	33	12.287874	LB
5	1	1	1	14	3	135	587	67	33	11.600018	es
5	1	1	1	14	4	250	583	63	53	41.689148	wer
5	1	1	1	14	5	320	583	50	53	37.435703	me
5	1	1	1	14	6	434	606	78	65	19.694338	alg
5	1	1	1	14	7	532	606	66	65	19.058990	piste
5	1	1	1	14	8	625	606	152	65	8.144455	hae
5	1	1	1	14	9	789	623	30	33	60.557335	Be
5	1	1	1	14	10	893	627	38	31	39.664101	ses
5	1	1	1	14	11	975	641	51	14	0.000000	Heese
5	1	1	1	14	12	1048	645	14	10	38.946186	[asl
5	1	1	1	14	13	1072	647	9	9	57.018093	al
5	1	1	1	14	14	1094	633	29	38	28.558388	tae,
5	1	1	1	14	15	1131	641	40	22	45.745552	all
5	1	1	1	14	16	1180	646	71	14	0.000000	coaseclen
5	1	1	1	14	17	1263	646	1	21	44.488533	|
5	1	1	1	14	18	1277	650	27	10	50.230232	don?
5	1	1	1	14	19	1313	638	31	41	30.925030	vena
5	1	1	1	14	20	1351	647	40	28	20.174175	TOIT
5	1	1	1	14	21	1411	650	20	22	20.597029	Ti,
5	1	1	1	14	22	1486	647	64	52	21.122913	ae
4	1	1	1	15	0	62	620	1397	89	-1	
5	1	1	1	15	1	62	620	62	35	27.201881	tet
5	1	1	1	15	2	134	622	232	54	16.284285	EE
5	1	1	1	15	3	389	659	102	20	17.481012	Ce
5	1	1	1	15	4	493	645	381	41	17.481012	Ee
5	1	1	1	15	5	618	641	65	51	18.169613	etl
5	1	1	1	15	6	691	641	64	51	18.169613	esa
5	1	1	1	15	7	827	641	51	51	18.366213	|
5	1	1	1	15	8	1048	680	45	8	15.538969	CCE
5	1	1	1	15	9	1128	695	1	4	12.692232	a
5	1	1	1	15	10	1262	693	140	16	23.087383	a
4	1	1	1	16	0	63	654	1520	96	-1	
5	1	1	1	16	1	63	654	63	33	0.000000	r.
5	1	1	1	16	2	368	660	386	57	24.460135	it
5	1	1	1	16	3	527	656	90	89	24.513903	tae
5	1	1	1	16	4	675	656	157	89	34.725956	ete
5	1	1	1	16	5	876	688	161	51	22.829651	tt
5	1	1	1	16	6	1039	691	296	50	25.406160	et
5	1	1	1	16	7	1351	716	62	28	38.545284	wade
5	1	1	1	16	8	1451	684	69	74	27.004429	fe
4	1	1	1	17	0	99	706	1410	95	-1	
5	1	1	1	17	1	11	700	12	15	74.007019	|)
5	1	1	1	17	2	117	706	63	17	0.000000	Be
5	1	1	1	17	3	193	696	229	83	0.000000	cecraeetaeer
5	1	1	1	17	4	456	696	70	83	24.320889	see
5	1	1	1	17	5	533	712	243	58	0.000000	tetas
5	1	1	1	17	6	1045	748	51	25	12.528124	fe
5	1	1	1	17	7	1179	749	330	52	17.465544	eee
4	1	1	1	18	0	12	717	1537	85	-1	
5	1	1	1	18	1	12	717	6	13	20.583878	i
5	1	1	1	18	2	99	719	14	19	35.773357	|
5	1	1	1	18	3	134	725	71	16	12.910004	Cotta
5	1	1	1	18	4	441	735	29	12	24.065266	a
5	1	1	1	18	5	587	744	112	24	37.775993	PHBE
5	1	1	1	18	6	735	749	92	22	19.025211	seo
5	1	1	1	18	7	900	767	11	5	0.000000	*
5	1	1	1	18	8	969	736	127	60	0.000000	meee
5	1	1	1	18	9	1127	769	276	24	21.246214	a
4	1	1	1	19	0	70	733	1359	78	-1	
5	1	1	1	19	1	70	740	43	15	16.282196	mae)
5	1	1	1	19	2	133	741	72	17	49.776108	+]
5	1	1	1	19	3	433	744	19	46	16.303596	HI
5	1	1	1	19	4	532	750	39	16	46.044827	BH
5	1	1	1	19	5	590	733	40	67	5.288610	fan
5	1	1	1	19	6	668	733	107	67	26.909857	eee
5	1	1	1	19	7	813	733	158	67	29.064766	rere
5	1	1	1	19	8	1046	780	45	11	38.046707	sa
5	1	1	1	19	9	1178	788	10	16	50.968658	ee
4	1	1	1	20	0	94	721	1477	132	-1	
5	1	1	1	20	1	94	744	19	41	33.304054	ia
5	1	1	1	20	2	133	721	119	70	7.623110	Boece
5	1	1	1	20	3	269	721	88	70	29.440718	een
5	1	1	1	20	4	379	763	111	19	8.146267	eee
5	1	1	1	20	5	548	721	57	70	23.363689	ict
5	1	1	1	20	6	647	781	31	22	13.487120	HE
5	1	1	1	20	7	695	783	24	21	21.184521	foe
5	1	1	1	20	8	1047	797	13	10	23.511820	a
5	1	1	1	20	9	1189	805	42	6	22.157955	die
5	1	1	1	20	10	1349	815	86	20	0.000000	Tt
5	1	1	1	20	11	1455	802	73	50	0.000000	EEH
5	1	1	1	20	12	1545	804	26	49	0.000000	>
4	1	1	1	21	0	132	776	1353	72	-1	
5	1	1	1	21	1	60	788	4	16	65.883560	|
5	1	1	1	21	2	119	767	79	85	36.022625	SRS
5	1	1	1	21	3	226	767	107	85	14.226751	zeae
5	1	1	1	21	4	388	767	37	85	46.147331	es
5	1	1	1	21	5	438	767	72	85	18.237476	GRE
5	1	1	1	21	6	537	784	72	35	0.000000	2
5	1	1	1	21	7	693	767	72	85	36.382790	eee
5	1	1	1	21	8	792	767	86	85	24.754295	ee
5	1	1	1	21	9	906	767	50	85	38.755821	oe
5	1	1	1	21	10	1044	810	50	32	30.149822	ol
4	1	1	1	22	0	12	792	1536	96	-1	
5	1	1	1	22	1	12	792	101	33	0.000000	De
5	1	1	1	22	2	136	794	183	37	22.380558	Sa
5	1	1	1	22	3	516	837	506	25	25.657701	ee
5	1	1	1	22	4	1321	853	79	25	0.000000	Baca
5	1	1	1	22	5	1465	853	83	35	0.000000	cee:
4	1	1	1	23	0	132	862	1188	73	-1	
5	1	1	1	23	1	60	861	52	23	39.925484	ee
5	1	1	1	23	2	318	883	171	19	20.056181	set
5	1	1	1	23	3	531	887	16	16	20.122028	eee
5	1	1	1	23	4	634	889	425	40	24.994923	ete
5	1	1	1	23	5	874	871	105	84	22.325024	tet
5	1	1	1	23	6	1000	871	21	84	66.319092	—
