level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	644	845	-1	
2	1	1	0	0	0	189	18	262	15	-1	
3	1	1	1	0	0	189	18	262	15	-1	
4	1	1	1	1	0	189	18	262	15	-1	
5	1	1	1	1	1	189	18	128	14	95.761070	HANDWRITING
5	1	1	1	1	2	324	19	70	13	95.618286	SAMPLE
5	1	1	1	1	3	401	19	50	14	83.387749	FORM.
2	1	2	0	0	0	237	64	33	9	-1	
3	1	2	1	0	0	237	64	33	9	-1	
4	1	2	1	1	0	237	64	33	9	-1	
5	1	2	1	1	1	237	64	33	9	96.192627	DATE
2	1	3	0	0	0	344	65	30	9	-1	
3	1	3	1	0	0	344	65	30	9	-1	
4	1	3	1	1	0	344	65	30	9	-1	
5	1	3	1	1	1	344	65	30	9	30.790783	orry
2	1	4	0	0	0	476	66	73	9	-1	
3	1	4	1	0	0	476	66	73	9	-1	
4	1	4	1	1	0	476	66	73	9	-1	
5	1	4	1	1	1	476	66	38	9	86.634277	STATE
5	1	4	1	1	2	530	66	19	9	23.886099	ZIP
2	1	5	0	0	0	24	63	210	42	-1	
3	1	5	1	0	0	24	63	210	42	-1	
4	1	5	1	1	0	24	63	210	42	-1	
5	1	5	1	1	1	24	63	210	42	19.614496	ee
2	1	6	0	0	0	237	83	59	15	-1	
3	1	6	1	0	0	237	83	59	15	-1	
4	1	6	1	1	0	237	83	59	15	-1	
5	1	6	1	1	1	237	83	59	15	74.717148	3-59
2	1	7	0	0	0	332	84	256	19	-1	
3	1	7	1	0	0	332	84	256	19	-1	
4	1	7	1	1	0	332	84	256	19	-1	
5	1	7	1	1	1	328	75	66	34	0.000000	Viwwcs
5	1	7	1	1	2	407	86	27	14	42.130157	CI
5	1	7	1	1	3	477	84	35	16	31.034908	Pte
5	1	7	1	1	4	525	85	63	15	0.000000	¢FYSE
2	1	8	0	0	0	51	108	576	14	-1	
3	1	8	1	0	0	51	108	576	14	-1	
4	1	8	1	1	0	51	108	576	14	-1	
5	1	8	1	1	1	51	108	23	9	91.990395	‘This
5	1	8	1	1	2	79	108	35	11	70.773621	sample
5	1	8	1	1	3	118	108	11	9	96.905052	of
5	1	8	1	1	4	133	108	62	12	96.925812	handwriting
5	1	8	1	1	5	200	112	7	6	96.723946	is
5	1	8	1	1	6	212	109	27	11	96.582314	being
5	1	8	1	1	7	244	109	44	9	96.488106	collected
